"FastLane.Proposal.Number","Last.Name","First.Name","Institution.or.Affiliation","Conflicted.with.Person..Last.Name.","Conflicted.with.Person..First.Name.","Type.of.Conflict"
"","Sukumar","Saraswati","Department of Oncology, The Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, Maryland 21231, USA","Fertig","E","Co-Author"
"","Sun","Wenyue","Authors' Affiliations: Departments of Otolaryngology-Head and Neck Surgery, Oncology and Health Science Informatics, Surgery, Oncology, and Pathology, Johns Hopkins Medical Institutions","Fertig","E","Co-Author"
"","Talbot","C Conover","Institute for Basic Biomedical Sciences, Johns Hopkins University School of Medicine, Baltimore, Maryland","Fertig","E","Co-Author"
"","Tan","Marietta","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University, Baltimore, MD 21231, USA","Fertig","E","Co-Author"
"","Taparra","Kekoa","Department of Radiation Oncology and Molecular Radiation Sciences, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Taylor","Dane","Department of Applied Mathematics, University of Colorado, Boulder, Colorado 80309, USA","Fertig","E","Co-Author"
"","Teufel","Ulrike",NA,"Fertig","E","Co-Author"
"","Thakar","Manjusha","Department of Oncology, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Thessen","Anne","Ronin Institute for Independent Scholarship, Montclair, NJ, United States of America","Fertig","E","Co-Author"
"","Thiyagarajan","Saravanan",NA,"Fertig","E","Co-Author"
"","Tiscareno","Ilse","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, USA","Fertig","E","Co-Author"
"","Tokheim","Collin","Johns Hopkins Institute for Computational Medicine and Department of Biomedical Engineering, Johns Hopkins University, Baltimore, Maryland","Fertig","E","Co-Author"
"","Tran","Phuoc T","Department of Radiation Oncology and Molecular Radiation Sciences, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Trotti","Andy","Christine H. Chung and Elana J. Fertig, Johns Hopkins University, Baltimore, MD","Fertig","E","Co-Author"
"","Uemura","Mamoru","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, United States of America","Fertig","E","Co-Author"
"","Van Tine","Brian A",NA,"Fertig","E","Co-Author"
"","Vatapalli","Rajita","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, USA","Fertig","E","Co-Author"
"","Velculescu","Victor E","Sidney Kimmel Comprehensive Cancer Center","Fertig","E","Co-Author"
"","Vesuna","Farhad",NA,"Fertig","E","Co-Author"
"","Vogelstein","Bert","Ludwig Center for Cancer Genetics and Therapeutics, Howard Hughes Medical Institute, and the Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, Maryland. nishant.agrawal@uchicago.edu nagrawal@jhmi.edu Patrick.Ha@ucsf.edu vogelbe@jhmi","Fertig","E","Co-Author"
"","Wang","Dian","Christine H. Chung and Elana J. Fertig, Johns Hopkins University, Baltimore, MD","Fertig","E","Co-Author"
"","Wang","Hao","Department of Oncology, School of Medicine, Johns Hopkins University, Baltimore, Maryland","Fertig","E","Co-Author"
"","Wang","Ruoqi",NA,"Fertig","E","Co-Author"
"","Wang","Zhiming","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins University, Baltimore, MD 21231, USA","Fertig","E","Co-Author"
"","Wei","Yingying","Division of Oncology Biostatistics, Department of Oncology, Johns Hopkins Medical Institutions, Baltimore, Maryland, USA","Fertig","E","Co-Author"
"","Weidhaas","J B","Department of Therapeutic Radiology Department of Radiation Oncology, University of California, Los Angeles","Fertig","E","Co-Author"
"","Weiner","Louis M","Department of Oncology and Lombardi Comprehensive Cancer Center, Georgetown University Medical Center, 3970 Reservoir Road NW, Washington DC, 20057, USA. weinerl@georgetown","Fertig","E","Co-Author"
"","Wenning","Daniel",NA,"Fertig","E","Co-Author"
"","Westra","William","Department of Otolaryngology and Head and Neck Surgery","Fertig","E","Co-Author"
"","Westra","William H","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, USA","Fertig","E","Co-Author"
"","Wheelan","Sarah","Division of Oncology Biostatistics, Department of Oncology, Johns Hopkins Medical Institutions, Baltimore, MD","Fertig","E","Co-Author"
"","Wheelan","Sarah J","Oncology, Johns Hopkins University School of Medicine","Fertig","E","Co-Author"
"","Wick","Michael J","South Texas Accelerated Research Therapeutics (START), Preclinical Research, 4383 Medical Drive, San Antonio, TX 78229, USA","Fertig","E","Co-Author"
"","Wild","Aaron T",NA,"Fertig","E","Co-Author"
"","Williams","Russell D","Department of Radiation Oncology and Molecular Radiation Sciences, Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Wood","Laura D","Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, Maryland","Fertig","E","Co-Author"
"","Wysocki","Piotr T","Department of Otolaryngology and Head and Neck Surgery, Johns Hopkins University School of Medicine, Baltimore, MD 21231, USA","Fertig","E","Co-Author"
"","Xia","Xiaoxin","Department of Oncology, Johns Hopkins University, Baltimore, MD, United States of America","Fertig","E","Co-Author"
"","Yegnasubramanian","Srinivasan","Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine","Fertig","E","Co-Author"
"","Yoon","A-Rum","Department of Environmental Health Sciences, Johns Hopkins University Bloomberg School of Public Health, Baltimore, MD, USA","Fertig","E","Co-Author"
"","Zanke","Brent W",NA,"Fertig","E","Co-Author"
"","Zhang","Chi","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, MD","Fertig","E","Co-Author"
"","Zhang","Kaihua","Division of Oncology, Department of Internal Medicine, Washington University School of Medicine, St. Louis, Missouri","Fertig","E","Co-Author"
"","Zhang","Qiang","Christine H. Chung and Elana J. Fertig, Johns Hopkins University, Baltimore, MD","Fertig","E","Co-Author"
"","Zhavoronkov","Alex","Insilico Medicine, Inc, ETC, Johns Hopkins University, Baltimore, Maryland","Fertig","E","Co-Author"
"","Zizkova","Veronika","Department of Otolaryngology-Head and Neck Surgery, Johns Hopkins Medical Institutions, Baltimore, Maryland, USA","Fertig","E","Co-Author"
